Sheet,RefDes,Qty,Category,ValueOrMPN,SuggestedFootprint,Function,Status,Notes
filter-clipper,P401,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Input from crossfade",planned,"XFADE_OUT_L AGND XFADE_OUT_R"
filter-clipper,P402,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Output to crossfade",planned,"FILTCLIP_OUT_L AGND FILTCLIP_OUT_R"
filter-clipper,P403,1,connector,B12B-XH-A,Connector_JST:JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical,"Control landing group A",planned,"Drive and HPF control landing"
filter-clipper,P404,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Power input",planned,"+15VA AGND -15VA"
filter-clipper,P405,1,connector,B12B-XH-A,Connector_JST:JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical,"Control landing group B",planned,"LPF and clip-mode control landing"
filter-clipper,D401-D412,12,diode,set,TBD,"Clip networks",planned,"Silicon LED and germanium families"
power-backplane,J500,1,connector,PJ-005A,TBD,"Service-endcap DC input jack",planned,"5.5 x 2.1 mm center-positive panel jack"
power-backplane,D500,1,diode,SS34,Diode_SMD:D_SMA,"Reverse-polarity protection",planned,"Series Schottky"
power-backplane,F500,1,fuse,MF-R100,Fuse:Fuse_1812_4532Metric,"Input polyfuse",planned,"Low-voltage protection"
power-backplane,TVS500,1,tvs,SMAJ33A,Diode_SMD:D_SMA,"Input surge clamp",planned,"33V standoff"
power-backplane,C500,1,capacitor,EEU-FR1E221,Capacitor_THT_or_SMD_TBD,"Bulk input capacitor",planned,"Power-path electrolytic acceptable"
power-backplane,PS500,1,power-module,URA2415YMD-10WR3,TBD,"Isolated +/-15V DC-DC",planned,"Primary rail generator"
power-backplane,PS501,1,power-module,R-78E5.0-0.5,TBD,"+5VAUX regulator",planned,"Fed from +15VA"
power-backplane,FB500,1,ferrite,BLM18PG471SN1,Inductor_SMD:L_0603_1608Metric,"+15V ripple filter bead",planned,"Per-rail bead"
power-backplane,FB501,1,ferrite,BLM18PG471SN1,Inductor_SMD:L_0603_1608Metric,"-15V ripple filter bead",planned,"Per-rail bead"
power-backplane,P501,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"I/O board power",planned,"+15VA AGND -15VA"
power-backplane,P502,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Tank board power",planned,"+15VA AGND -15VA"
power-backplane,P503,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Crossfade board power",planned,"+15VA AGND -15VA"
power-backplane,P504,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Filter board power",planned,"+15VA AGND -15VA"
power-backplane,P505,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Spare utility power",planned,"Reserved output"
power-backplane,P506,1,connector,B4P-VH-B,Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical,"Ext-routing board power",planned,"+15VA AGND -15VA +5VAUX"
power-backplane,P601,1,connector,B4P-VH-B,Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical,"Control-backplane power",planned,"If control backplane is separate"
power-backplane,U601,1,ic,ULN2003ADR,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"Optional relay-driver array",optional,"Stuff only if required by relay strategy"
